Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Engagement Score,Membership Age,App vs Website Preference,Session Efficiency,Frequency of Visits,Payment Method,Number of Rejected Payments
32.746283994704,12.367016318307543,36.95235193731716,3.639567758452012,514.6209695371666,1.5061058000840961,1,Website,15.715400551109719,9,E-Wallet,0
31.317665183008117,11.838125528817617,35.247708036472005,2.891149577401854,414.19418610969257,1.5034911858894502,1,Website,13.225576801121816,9,Credit Card,1
33.64352473789052,11.956423176289428,36.2862888203815,4.617899749107944,520.9379058899638,1.4339375072177942,4,Website,15.48404663151317,3,PayPal,2
31.95818959054099,13.429011309314443,37.0401358552457,2.3633826525199764,450.73985045074824,1.5792242242501133,4,Website,14.104048327698719,5,PayPal,0
31.00112675539346,10.767700195445332,37.618120073269345,2.1511202393192157,480.5531273683759,1.5607761824430042,3,Website,15.501150366567597,2,Credit Card,0
35.49023386371244,11.220068559828855,36.525424927830755,4.009357826795738,508.9476960323724,1.3453135775607767,4,Website,14.340499924198982,3,PayPal,1
33.34456829263104,12.371418112863601,36.71277260948425,2.89376960913193,460.49625516234863,1.472029575899328,3,Website,13.81023293272373,9,PayPal,1
33.307319187816915,11.71928872413662,36.261268143885594,4.344580672210063,515.743257437012,1.4405409392891773,4,Website,15.484382112195313,6,Credit Card,0
33.96543493147516,13.719184050751064,37.14085359527903,2.709445326338737,439.0504981389787,1.4974057523078854,2,Website,12.926391168691277,2,Debit Card,1
33.746224222588246,12.605821740521758,37.800961078677936,4.240408130289202,486.98674197472724,1.4937014134298199,2,Website,14.430851249093509,5,Credit Card,0
31.651392962602625,10.82039789807218,36.971430196074834,4.496690545176744,576.8718042380616,1.5099439114927724,4,Website,18.225795146509302,2,Credit Card,1
32.983549621339336,11.599005491141883,34.948217529896716,2.4353392655311326,553.1920791985564,1.4112254004015379,4,Website,16.77175699854506,6,PayPal,0
33.28524079013095,12.280159724833112,37.888413018896195,1.6174979498516762,604.7863878408621,1.5072317805976112,4,Website,18.169806601494702,7,Debit Card,2
34.05200263957207,10.813976277757671,36.83928350150638,3.0172206096678624,525.6530068275722,1.3994260567772263,2,Website,15.436772174353914,9,E-Wallet,1
34.193098364228206,12.941960135128138,36.90492589639884,3.927152135628748,447.92818913316836,1.4578054758464152,2,Website,13.099959072494507,4,Credit Card,0
32.8597347490732,14.056105907352329,37.401945759388845,3.128958640180328,504.34127819953045,1.5659910848243392,2,Website,15.348306431893985,2,Credit Card,0
32.48097056127828,11.462111366775167,36.51519447821057,4.843676540920928,327.89069265398643,1.4770896625293946,3,Website,10.094855140962954,8,E-Wallet,1
32.15237930629291,11.799006907744543,36.1150357398468,3.227668695901792,537.3554157045319,1.490217634942293,4,Website,16.712772967298253,6,Debit Card,0
31.811384334499092,10.747859133319379,38.34636345365709,4.659997137549315,388.2676941479883,1.5432909825849463,3,Website,12.205306442037367,1,Debit Card,0
32.09340866922733,12.780743018832686,37.3502274802561,3.2567722520381444,491.48401208044714,1.562033220458652,4,Website,15.314172986296253,5,Credit Card,0
32.55487301533963,13.516640109137565,37.60953582454622,4.013722910712582,495.44620123552477,1.5704615376503999,4,Website,15.218803065276093,1,PayPal,0
32.946959131139195,11.475789950850945,35.89119191391534,2.352333538988933,579.20816332565,1.4376738586474975,2,Website,17.580018872765176,3,Credit Card,0
34.092504667048246,11.847071778005837,37.44763262612188,2.7514356137393343,498.72070049928044,1.4459103220941405,4,Website,14.628455884067495,3,Debit Card,0
33.919162478242434,11.58869094985714,36.85266075592195,4.497534406295179,645.3972409719293,1.4281411499134735,3,Website,19.027511112219283,7,Debit Card,0
35.19036299695651,13.163423280825096,38.06532346225335,3.3619119357912846,484.6971963362155,1.4557606793515896,3,Website,13.773577623457173,7,Credit Card,0
34.324683103550186,12.812098271343736,38.022914032477175,4.025099578643637,689.7951217065579,1.4810045631146138,3,Website,20.096183251731542,2,Credit Card,0
34.452059798025815,12.892757183742573,36.874663101447226,5.366033116106928,605.8117293736755,1.4445412139927143,4,Website,17.58419476005873,4,E-Wallet,0
33.29066112995557,10.450242514641227,37.14329420779658,4.8217331612258905,582.3530084492389,1.4296362735677914,4,Website,17.492984178834064,3,E-Wallet,0
32.80422591902085,14.087510280542897,38.19072773127158,4.7125975467374,606.8494425795261,1.5936433964595405,1,Website,18.499123987182916,5,Debit Card,0
33.6355241430425,12.582762023175416,37.12953412989646,3.9428509029886065,537.7606609718198,1.4779700159170805,1,Website,15.98787813398934,8,Debit Card,0
33.54354965686266,11.76560831992211,37.40568929521653,4.582751939567901,493.6901949190295,1.4658942812594882,2,Website,14.717887640672688,1,PayPal,1
31.970340484133,12.191566007480827,36.40012841384175,2.378844573232337,529.4298352274229,1.5198991842279193,1,Website,16.560031179216903,9,PayPal,1
32.63613158378281,12.9984336590872,37.99364063275841,3.360740761684223,540.2719271570795,1.5624423550609785,4,Website,16.55441073860437,2,Debit Card,0
33.46391523772662,12.743669511485022,36.12191132595768,6.648890168024787,377.9803412743149,1.4602469702156229,2,Website,11.295161925589229,1,PayPal,0
33.49371231055677,9.46333787310696,36.9677775008672,2.530747634603781,473.6820654494693,1.386263634901399,3,Website,14.14241756952606,9,E-Wallet,1
33.06346914675581,11.693116012637303,36.39686812200696,2.416341647879511,489.0290484640583,1.454474844160836,3,Website,14.790615173908389,6,Credit Card,1
33.125966227807105,12.988353608985518,35.827324901074874,2.222246389468438,409.24132455271973,1.4736378759295718,2,Website,12.354094722501653,7,Debit Card,0
33.91679065182288,11.75336848059762,37.020132588725595,4.846587121434084,583.5596173332947,1.4380340867157446,4,Website,17.205626066566854,2,PayPal,2
33.550561106458005,12.229932222149095,37.264847528903985,3.826601646099144,407.5471171237865,1.4752295675176068,4,Website,12.147251899323361,3,E-Wallet,0
31.655206792035415,13.070275946448035,37.6444863074298,2.1347913176945457,549.9317006601281,1.6020985927230742,1,Website,17.37255119743818,2,Debit Card,1
32.0395554960833,11.452000971612508,37.06362616406892,4.978979708676533,420.9090759441583,1.5142415799623765,2,Website,13.137169646302135,3,E-Wallet,0
